Sub Concept,RGDP,Potential NGDP,Real PCE Growth,Headline CPI,Core CPI,Unemployment,Capacity Utiliization,CMD Price Index,Effective Federal Funds Rate,3m Rate (Secondary Market),1yr-3m,2yr-3m,Household Credit Creation,Business Credit Creation,UMICH Consumer Confidence,PMI,Industrial Production: Manufacturing (NAICS),Industrial Production Index
1/31/1950,2184.8720,284.6000,#N/A,#N/A,#N/A,0.0650,#N/A,25.9000,#N/A,0.0107,#N/A,#N/A,#N/A,#N/A,#N/A,59.1000,#N/A,14.4279
2/28/1950,2184.8720,284.6000,#N/A,#N/A,#N/A,0.0640,#N/A,26.1000,#N/A,0.0112,#N/A,#N/A,#N/A,#N/A,#N/A,60.5000,#N/A,14.4833
3/31/1950,2184.8720,284.6000,#N/A,#N/A,#N/A,0.0630,#N/A,26.1000,#N/A,0.0112,#N/A,#N/A,#N/A,#N/A,#N/A,62.1000,#N/A,14.9541
4/30/1950,2251.5070,289.5000,#N/A,#N/A,#N/A,0.0580,#N/A,26.1000,#N/A,0.0115,#N/A,#N/A,#N/A,#N/A,#N/A,68.1000,#N/A,15.4526
5/31/1950,2251.5070,289.5000,#N/A,#N/A,#N/A,0.0550,#N/A,26.4000,#N/A,0.0116,#N/A,#N/A,#N/A,#N/A,#N/A,74.7000,#N/A,15.8126
6/30/1950,2251.5070,289.5000,#N/A,#N/A,#N/A,0.0540,#N/A,26.6000,#N/A,0.0115,#N/A,#N/A,#N/A,#N/A,#N/A,76.6000,#N/A,16.2834
7/31/1950,2338.5140,299.5000,#N/A,#N/A,#N/A,0.0500,#N/A,27.3000,#N/A,0.0116,#N/A,#N/A,#N/A,#N/A,#N/A,77.5000,#N/A,16.8095
8/31/1950,2338.5140,299.5000,#N/A,#N/A,#N/A,0.0450,#N/A,27.9000,#N/A,0.0120,#N/A,#N/A,#N/A,#N/A,#N/A,75.8000,#N/A,17.3357
9/30/1950,2338.5140,299.5000,#N/A,#N/A,#N/A,0.0440,#N/A,28.4000,#N/A,0.0130,#N/A,#N/A,#N/A,#N/A,#N/A,68.1000,#N/A,17.2249
10/31/1950,2383.2910,308.4000,#N/A,#N/A,#N/A,0.0420,#N/A,28.6000,#N/A,0.0131,#N/A,#N/A,#N/A,#N/A,#N/A,59.2000,#N/A,17.3357
11/30/1950,2383.2910,308.4000,#N/A,#N/A,#N/A,0.0420,#N/A,29.0000,#N/A,0.0136,#N/A,#N/A,#N/A,#N/A,#N/A,63.1000,#N/A,17.3080
12/31/1950,2383.2910,308.4000,#N/A,#N/A,#N/A,0.0430,#N/A,29.7000,#N/A,0.0134,#N/A,#N/A,#N/A,#N/A,#N/A,67.1000,#N/A,17.6126
1/31/1951,2415.6600,323.2000,#N/A,#N/A,#N/A,0.0370,#N/A,30.5000,#N/A,0.0134,#N/A,#N/A,#N/A,#N/A,#N/A,67.8000,#N/A,17.6680
2/28/1951,2415.6600,323.2000,#N/A,#N/A,#N/A,0.0340,#N/A,30.9000,#N/A,0.0136,#N/A,#N/A,#N/A,#N/A,#N/A,69.3000,#N/A,17.7788
3/31/1951,2415.6600,323.2000,#N/A,#N/A,#N/A,0.0340,#N/A,30.9000,#N/A,0.0140,#N/A,#N/A,#N/A,#N/A,#N/A,65.5000,#N/A,17.8618
4/30/1951,2457.5170,329.7000,#N/A,#N/A,#N/A,0.0310,#N/A,30.8000,#N/A,0.0147,#N/A,#N/A,#N/A,#N/A,#N/A,53.5000,#N/A,17.8895
5/31/1951,2457.5170,329.7000,#N/A,#N/A,#N/A,0.0300,#N/A,30.7000,#N/A,0.0155,#N/A,#N/A,#N/A,#N/A,#N/A,50.7000,#N/A,17.8342
6/30/1951,2457.5170,329.7000,#N/A,#N/A,#N/A,0.0320,#N/A,30.5000,#N/A,0.0145,#N/A,#N/A,#N/A,#N/A,#N/A,45.5000,#N/A,17.7511
7/31/1951,2508.1660,335.5000,#N/A,#N/A,#N/A,0.0310,#N/A,30.3000,#N/A,0.0156,#N/A,#N/A,#N/A,#N/A,#N/A,42.1000,#N/A,17.4741
8/31/1951,2508.1660,335.5000,#N/A,#N/A,#N/A,0.0310,#N/A,30.1000,#N/A,0.0162,#N/A,#N/A,#N/A,#N/A,#N/A,43.6000,#N/A,17.3080
9/30/1951,2508.1660,335.5000,#N/A,#N/A,#N/A,0.0330,#N/A,30.1000,#N/A,0.0163,#N/A,#N/A,#N/A,#N/A,#N/A,48.1000,#N/A,17.4188
10/31/1951,2513.6900,344.8000,#N/A,#N/A,#N/A,0.0350,#N/A,30.1000,#N/A,0.0154,#N/A,#N/A,#N/A,#N/A,#N/A,49.6000,#N/A,17.3911
11/30/1951,2513.6900,344.8000,#N/A,#N/A,#N/A,0.0350,#N/A,30.1000,#N/A,0.0156,#N/A,#N/A,#N/A,#N/A,#N/A,47.2000,#N/A,17.5295
12/31/1951,2513.6900,344.8000,#N/A,#N/A,#N/A,0.0310,#N/A,30.1000,#N/A,0.0173,#N/A,#N/A,#N/A,#N/A,#N/A,46.5000,#N/A,17.6403
1/31/1952,2540.5500,350.1000,#N/A,#N/A,#N/A,0.0320,#N/A,30.0000,#N/A,0.0157,#N/A,#N/A,0.0257,-0.0900,#N/A,44.7000,#N/A,17.8341
2/29/1952,2540.5500,350.1000,#N/A,#N/A,#N/A,0.0310,#N/A,29.8000,#N/A,0.0154,#N/A,#N/A,0.0257,-0.0900,#N/A,41.8000,#N/A,17.9449
3/31/1952,2540.5500,350.1000,#N/A,#N/A,#N/A,0.0290,#N/A,29.8000,#N/A,0.0159,#N/A,#N/A,0.0257,-0.0900,#N/A,40.0000,#N/A,18.0003
4/30/1952,2546.0220,356.4000,#N/A,#N/A,#N/A,0.0290,#N/A,29.6000,#N/A,0.0157,#N/A,#N/A,0.0373,-0.0566,#N/A,36.7000,#N/A,17.8341
5/31/1952,2546.0220,356.4000,#N/A,#N/A,#N/A,0.0300,#N/A,29.6000,#N/A,0.0167,#N/A,#N/A,0.0373,-0.0566,#N/A,39.5000,#N/A,17.6680
6/30/1952,2546.0220,356.4000,#N/A,#N/A,#N/A,0.0300,#N/A,29.5000,#N/A,0.0170,#N/A,#N/A,0.0373,-0.0566,#N/A,43.3000,#N/A,17.5018
7/31/1952,2564.4010,363.9000,#N/A,#N/A,#N/A,0.0320,#N/A,29.6000,#N/A,0.0181,#N/A,#N/A,0.0314,0.0420,#N/A,48.3000,#N/A,17.2249
8/31/1952,2564.4010,363.9000,#N/A,#N/A,#N/A,0.0340,#N/A,29.8000,#N/A,0.0183,#N/A,#N/A,0.0314,0.0420,#N/A,60.4000,#N/A,18.3326
9/30/1952,2564.4010,363.9000,#N/A,#N/A,#N/A,0.0310,#N/A,29.6000,#N/A,0.0171,#N/A,#N/A,0.0314,0.0420,#N/A,56.1000,#N/A,18.9972
10/31/1952,2648.6210,369.8000,#N/A,#N/A,#N/A,0.0300,#N/A,29.5000,#N/A,0.0174,#N/A,#N/A,0.0402,0.1161,#N/A,56.2000,#N/A,19.1911
11/30/1952,2648.6210,369.8000,#N/A,#N/A,#N/A,0.0280,#N/A,29.3000,#N/A,0.0185,#N/A,#N/A,0.0402,0.1161,#N/A,56.8000,#N/A,19.5788
12/31/1952,2648.6210,369.8000,#N/A,#N/A,#N/A,0.0270,#N/A,29.1000,#N/A,0.0209,#N/A,#N/A,0.0402,0.1161,#N/A,55.8000,#N/A,19.6896
1/31/1953,2697.8550,374.3000,#N/A,#N/A,#N/A,0.0290,#N/A,29.1000,#N/A,0.0196,#N/A,#N/A,0.0444,-0.0066,#N/A,59.4000,#N/A,19.7449
2/28/1953,2697.8550,374.3000,#N/A,#N/A,#N/A,0.0260,#N/A,29.1000,#N/A,0.0197,#N/A,#N/A,0.0444,-0.0066,#N/A,55.4000,#N/A,19.8557
3/31/1953,2697.8550,374.3000,#N/A,#N/A,#N/A,0.0260,#N/A,29.2000,#N/A,0.0201,#N/A,#N/A,0.0444,-0.0066,#N/A,50.5000,#N/A,20.0219
4/30/1953,2718.7090,378.9000,#N/A,#N/A,#N/A,0.0270,#N/A,29.0000,#N/A,0.0219,#N/A,#N/A,0.0362,0.0771,#N/A,51.1000,#N/A,20.1050
5/31/1953,2718.7090,378.9000,#N/A,#N/A,#N/A,0.0250,#N/A,29.1000,#N/A,0.0216,#N/A,#N/A,0.0362,0.0771,#N/A,48.9000,#N/A,20.2157
6/30/1953,2718.7090,378.9000,#N/A,#N/A,#N/A,0.0250,#N/A,29.0000,#N/A,0.0211,#N/A,#N/A,0.0362,0.0771,#N/A,48.5000,#N/A,20.1326
7/31/1953,2703.4110,383.8000,#N/A,#N/A,#N/A,0.0260,#N/A,29.4000,#N/A,0.0204,#N/A,#N/A,0.0250,0.0754,#N/A,46.3000,#N/A,20.3819
8/31/1953,2703.4110,383.8000,#N/A,#N/A,#N/A,0.0270,#N/A,29.3000,#N/A,0.0204,#N/A,#N/A,0.0250,0.0754,#N/A,43.5000,#N/A,20.2711
9/30/1953,2703.4110,383.8000,#N/A,#N/A,#N/A,0.0290,#N/A,29.4000,#N/A,0.0179,#N/A,#N/A,0.0250,0.0754,#N/A,40.2000,#N/A,19.8557
10/31/1953,2662.4820,388.1000,#N/A,#N/A,#N/A,0.0310,#N/A,29.2000,#N/A,0.0138,#N/A,#N/A,0.0266,-0.1361,#N/A,37.4000,#N/A,19.6896
11/30/1953,2662.4820,388.1000,#N/A,#N/A,#N/A,0.0350,#N/A,29.1000,#N/A,0.0144,#N/A,#N/A,0.0266,-0.1361,#N/A,36.9000,#N/A,19.2188
12/31/1953,2662.4820,388.1000,#N/A,#N/A,#N/A,0.0450,#N/A,29.2000,#N/A,0.0160,#N/A,#N/A,0.0266,-0.1361,#N/A,35.6000,#N/A,18.7480
1/31/1954,2649.7550,392.5000,#N/A,#N/A,#N/A,0.0490,#N/A,29.4000,#N/A,0.0118,#N/A,#N/A,0.0185,-0.1569,#N/A,37.4000,#N/A,18.6095
2/28/1954,2649.7550,392.5000,#N/A,#N/A,#N/A,0.0520,#N/A,29.3000,#N/A,0.0097,#N/A,#N/A,0.0185,-0.1569,#N/A,40.7000,#N/A,18.6649
